Pilier_Principal,Engagement,Forme,Nom,Niveau,Individu,Entreprise,Cooperation,Communaute,Apprendre,Responsabiliser,Célébrer,Rencontrer
Pillier Individu,Célébrer,Evenement,participer à un congrès national,N,100.0,0.0,0.0,0.0,30.0,0.0,40.0,30.0
Pillier Individu,Célébrer,Evenement,participer à une convention nationale,N,100.0,0.0,0.0,0.0,30.0,0.0,40.0,30.0
Pillier Individu,Célébrer,initiative /programme,Faire le Grand Slam,M,100.0,0.0,0.0,0.0,20.0,0.0,40.0,40.0
Pillier Individu,Prendre des responsabilités,Concours,être jury des joutes & débat au niveau local /régional / national,"L, R, N",100.0,0.0,0.0,0.0,20.0,40.0,10.0,30.0
Pillier Individu,Prendre des responsabilités,Equipe,devenir chargé de mission régionale,R,40.0,40.0,0.0,20.0,30.0,40.0,0.0,30.0
Pillier Individu,Prendre des responsabilités,Equipe,devenir chargé de mission nationale,N,40.0,40.0,10.0,10.0,30.0,50.0,0.0,20.0
Pillier Individu,Prendre des responsabilités,Equipe,devenir chargé de mission JCI europe,Z,50.0,0.0,50.0,0.0,20.0,40.0,0.0,40.0
Pillier Individu,Prendre des responsabilités,Equipe,Prendre des responsabilités en bureau local,L,40.0,20.0,10.0,30.0,30.0,50.0,10.0,10.0
Pillier Individu,Prendre des responsabilités,Equipe,Prendre des responsabilités en bureau régional,R,50.0,20.0,0.0,30.0,20.0,60.0,10.0,10.0
Pillier Individu,Prendre des responsabilités,Equipe,devenir ambassadeur régional - sur dossier,R,50.0,0.0,0.0,50.0,0.0,70.0,10.0,20.0
Pillier Individu,Prendre des responsabilités,Equipe,Parrainer / Marrainer un membre ,L,100.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0
Pillier Individu,Prendre des responsabilités,Formation /Atelier,"Animer les formations JCI (Discover, Adventure, Engage, RSE, Communication)","L, R, N, Z, M",100.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0
Pillier Individu,Prendre des responsabilités,Formation /Atelier,co-animer des formations,"L, R, N",100.0,0.0,0.0,0.0,30.0,50.0,0.0,20.0
Pillier Individu,Prendre des responsabilités,Formation /Atelier,animer des formations en tant que formateur leader,"L, R, N",50.0,0.0,0.0,50.0,0.0,80.0,0.0,20.0
Pillier Individu,Prendre des responsabilités,Formation /Atelier,coacher des formateurs JCEF en tant que formateur mentor,N,100.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0
Pillier Individu,Prendre des responsabilités,Formation /Atelier,Concevoir ou mettre à jour des formations,N,100.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0
Pillier Individu,Se rencontrer,Equipe,Devenir Alumni ,N,80.0,10.0,0.0,10.0,0.0,0.0,30.0,70.0
Pillier Individu,Se rencontrer,Evenement,Participer à l'European Presidents Meeting,Z,50.0,0.0,40.0,10.0,40.0,0.0,10.0,50.0
Pillier Individu,Se rencontrer,Evenement,"Participer à un événement convivial international (JCI Golf, Ski, Waltz, Crayfish Conference...)",Z,50.0,20.0,30.0,0.0,0.0,0.0,40.0,60.0
Pillier Individu,Se rencontrer,Formation /Atelier,Participer à la JCI Japan Academy,M,80.0,0.0,20.0,0.0,40.0,0.0,0.0,60.0
Pillier Individu,Se rencontrer,initiative /programme,Participer à l'initiative JCI Mentor-Mentee Program,M,100.0,0.0,0.0,0.0,0.0,30.0,0.0,70.0
Pillier Individu,Se rencontrer,initiative /programme,"Utiliser et remplir la ""European Leaders Map"" pour se rencontrer",Z,40.0,30.0,30.0,0.0,0.0,0.0,0.0,100.0
